Bin,Label,Total Qty,Unique Values,Contents
1,R  < 100 ohm,8,5,"0Rx1, 10Rx1, 50Rx1, 51Rx3, 62Rx2"
2,R  100 - 999 ohm,7,4,"120Rx4, 200Rx1, 240Rx1, 270Rx1"
3,R  1 k - 3.3 kohm,9,5,"1kx2, 1.5kx1, 2kx1, 2.2kx3, 2.7kx2"
4,R  3.3 k - 10 kohm (excl 10k),11,5,"3.9kx2, 4.7kx2, 6.8kx1, 7.5kx2, 8.2kx4"
5,R  10 kohm (dedicated),10,1,10kx10
6,R  10.1 k - 100 kohm,7,3,"22kx4, 27kx1, 30kx2"
7,R  > 100 kohm,10,4,"100kx3, 170kx2, 330kx2, 470kx3"
8,R  potentiometer (trim),1,1,10kx1
9,C  ceramic  <= 1 nF (pF range),5,3,"220pFx2, 330pFx1, 390pFx2"
10,C  ceramic  1 nF - 100 nF (excl 100n),4,2,"1nFx2, 10nFx2"
11,"C  ceramic  100 nF (0.1 uF, dedicated)",39,1,100nFx39
12,C  ceramic  > 100 nF (0.33 uF - 1 uF),9,3,"330nFx4, 680nFx1, 1uFx4"
13,C  electrolytic  <= 1 uF,2,1,1uFx2
14,C  electrolytic  >= 10 uF (dedicated + up),20,2,"10uFx19, 100uFx1"
15,Q  transistors + FETs (bagged),10,2,"2N7000x9, J310x1"
16,U  op-amps + LM393 comparator (bagged),11,4,"LM393x3, LM7171xINx2, OPA1641x2, OPA454x4"
17,U  AM26LS32ACN,1,1,AM26LS32ACNx1
18,U  CD14538B,1,1,CD14538Bx1
19,U  ICL7660S,1,1,ICL7660Sx1
20,U  L79L08_TO92,1,1,L79L08_TO92x1
21,U  LM4040LP-5,1,1,LM4040LP-5x1
22,U  LM7805_TO220,2,1,LM7805_TO220x2
23,U  MC1496,1,1,MC1496x1
24,U  MCP4921,1,1,MCP4921x1
