 0.00000000e+00 -0.00000000e+00  0.00000000e+00 -5.81395349e-28  0.00000000e+00 -8.00000000e+00 
 5.00000000e+00 -4.57522489e-28  5.00000000e+00 -4.53289052e-28  5.00000000e+00 -8.00000000e+00 
 1.00000000e+01 -1.78795182e-10  1.00000000e+01 -9.13622557e-11  1.00000000e+01 -8.00000000e+00 
 1.50000000e+01 -1.20697287e-08  1.50000000e+01 -4.38865543e-09  1.50000000e+01 -8.00000000e+00 
 2.00000000e+01 -1.46517069e-07  2.00000000e+01 -4.37000082e-08  2.00000000e+01 -8.00000000e+00 
 2.50000000e+01 -7.55418412e-07  2.50000000e+01 -1.99968882e-07  2.50000000e+01 -8.00000000e+00 
 3.00000000e+01 -2.41704339e-06  3.00000000e+01 -5.95070882e-07  3.00000000e+01 -8.00000000e+00 
 3.50000000e+01 -5.78059080e-06  3.50000000e+01 -1.36172701e-06  3.50000000e+01 -8.00000000e+00 
 4.00000000e+01 -1.14647112e-05  4.00000000e+01 -2.62918709e-06  4.00000000e+01 -8.00000000e+00 
 4.50000000e+01 -1.99676444e-05  4.50000000e+01 -4.50503796e-06  4.50000000e+01 -8.00000000e+00 
 5.00000000e+01 -3.16928549e-05  5.00000000e+01 -7.07992477e-06  5.00000000e+01 -8.00000000e+00 
 5.50000000e+01 -4.69563469e-05  5.50000000e+01 -1.04267400e-05  5.50000000e+01 -8.00000000e+00 
 6.00000000e+01 -6.60052622e-05  6.00000000e+01 -1.46031663e-05  6.00000000e+01 -8.00000000e+00 
 6.50000000e+01 -8.90340302e-05  6.50000000e+01 -1.96545160e-05  6.50000000e+01 -8.00000000e+00 
 7.00000000e+01 -1.16196910e-04  7.00000000e+01 -2.56163475e-05  7.00000000e+01 -8.00000000e+00 
 7.50000000e+01 -1.47617361e-04  7.50000000e+01 -3.25166644e-05  7.50000000e+01 -8.00000000e+00 
 8.00000000e+01 -1.83394995e-04  8.00000000e+01 -4.03776703e-05  8.00000000e+01 -8.00000000e+00 
 8.50000000e+01 -2.23610773e-04  8.50000000e+01 -4.92171236e-05  8.50000000e+01 -8.00000000e+00 
 9.00000000e+01 -2.68330941e-04  9.00000000e+01 -5.90493664e-05  9.00000000e+01 -8.00000000e+00 
 9.50000000e+01 -3.17610043e-04  9.50000000e+01 -6.98860971e-05  9.50000000e+01 -8.00000000e+00 
 1.00000000e+02 -3.71493263e-04  1.00000000e+02 -8.17369511e-05  1.00000000e+02 -8.00000000e+00 
 1.05000000e+02 -4.30018253e-04  1.05000000e+02 -9.46099365e-05  1.05000000e+02 -8.00000000e+00 
 1.10000000e+02 -4.93216572e-04  1.10000000e+02 -1.08511765e-04  1.10000000e+02 -8.00000000e+00 
 1.15000000e+02 -5.61114825e-04  1.15000000e+02 -1.23448104e-04  1.15000000e+02 -8.00000000e+00 
 1.20000000e+02 -6.33735567e-04  1.20000000e+02 -1.39423772e-04  1.20000000e+02 -8.00000000e+00 
 1.25000000e+02 -7.11098029e-04  1.25000000e+02 -1.56442891e-04  1.25000000e+02 -8.00000000e+00 
 1.30000000e+02 -7.93218691e-04  1.30000000e+02 -1.74509009e-04  1.30000000e+02 -8.00000000e+00 
 1.35000000e+02 -8.80111757e-04  1.35000000e+02 -1.93625190e-04  1.35000000e+02 -8.00000000e+00 
 1.40000000e+02 -9.71789521e-04  1.40000000e+02 -2.13794099e-04  1.40000000e+02 -8.00000000e+00 
 1.45000000e+02 -1.06826268e-03  1.45000000e+02 -2.35018059e-04  1.45000000e+02 -8.00000000e+00 
 1.50000000e+02 -1.16954059e-03  1.50000000e+02 -2.57299108e-04  1.50000000e+02 -8.00000000e+00 
 1.55000000e+02 -1.27563144e-03  1.55000000e+02 -2.80639036e-04  1.55000000e+02 -8.00000000e+00 
 1.60000000e+02 -1.38654248e-03  1.60000000e+02 -3.05039423e-04  1.60000000e+02 -8.00000000e+00 
 1.65000000e+02 -1.50228009e-03  1.65000000e+02 -3.30501670e-04  1.65000000e+02 -8.00000000e+00 
 1.70000000e+02 -1.62284995e-03  1.70000000e+02 -3.57027022e-04  1.70000000e+02 -8.00000000e+00 
 1.75000000e+02 -1.74825711e-03  1.75000000e+02 -3.84616586e-04  1.75000000e+02 -8.00000000e+00 
