 0.00000000e+00 -0.00000000e+00  0.00000000e+00 -4.20168067e-27  0.00000000e+00 -2.50000000e+00 
 5.00000000e+00 -6.46586523e-05  5.00000000e+00 -6.27671954e-05  5.00000000e+00 -2.50000000e+00 
 1.00000000e+01 -1.82614642e-04  1.00000000e+01 -8.96616624e-05  1.00000000e+01 -2.50000000e+00 
 1.50000000e+01 -2.68765680e-04  1.50000000e+01 -9.23501611e-05  1.50000000e+01 -2.50000000e+00 
 2.00000000e+01 -3.29902855e-04  2.00000000e+01 -9.17983795e-05  2.00000000e+01 -2.50000000e+00 
 2.50000000e+01 -3.76638293e-04  2.50000000e+01 -9.21681905e-05  2.50000000e+01 -2.50000000e+00 
 3.00000000e+01 -4.15465627e-04  3.00000000e+01 -9.39774309e-05  3.00000000e+01 -2.50000000e+00 
 3.50000000e+01 -4.50346511e-04  3.50000000e+01 -9.70806703e-05  3.50000000e+01 -2.50000000e+00 
 4.00000000e+01 -4.83626332e-04  4.00000000e+01 -1.01236862e-04  4.00000000e+01 -2.50000000e+00 
 4.50000000e+01 -5.16699410e-04  4.50000000e+01 -1.06242129e-04  4.50000000e+01 -2.50000000e+00 
 5.00000000e+01 -5.50394795e-04  5.00000000e+01 -1.11945803e-04  5.00000000e+01 -2.50000000e+00 
 5.50000000e+01 -5.85203855e-04  5.50000000e+01 -1.18241475e-04  5.50000000e+01 -2.50000000e+00 
 6.00000000e+01 -6.21415312e-04  6.00000000e+01 -1.25055143e-04  6.00000000e+01 -2.50000000e+00 
 6.50000000e+01 -6.59195867e-04  6.50000000e+01 -1.32335450e-04  6.50000000e+01 -2.50000000e+00 
 7.00000000e+01 -6.98638676e-04  7.00000000e+01 -1.40046564e-04  7.00000000e+01 -2.50000000e+00 
 7.50000000e+01 -7.39792683e-04  7.50000000e+01 -1.48163234e-04  7.50000000e+01 -2.50000000e+00 
 8.00000000e+01 -7.82680464e-04  8.00000000e+01 -1.56667417e-04  8.00000000e+01 -2.50000000e+00 
 8.50000000e+01 -8.27309117e-04  8.50000000e+01 -1.65546006e-04  8.50000000e+01 -2.50000000e+00 
 9.00000000e+01 -8.73676906e-04  9.00000000e+01 -1.74789298e-04  9.00000000e+01 -2.50000000e+00 
 9.50000000e+01 -9.20912359e-04  9.50000000e+01 -1.84212342e-04  9.50000000e+01 -2.50000000e+00 
 1.00000000e+02 -9.70734842e-04  1.00000000e+02 -1.94166054e-04  1.00000000e+02 -2.50000000e+00 
 1.05000000e+02 -1.02227848e-03  1.05000000e+02 -2.04467877e-04  1.05000000e+02 -2.50000000e+00 
 1.10000000e+02 -1.07552602e-03  1.10000000e+02 -2.15112971e-04  1.10000000e+02 -2.50000000e+00 
 1.15000000e+02 -1.13046780e-03  1.15000000e+02 -2.26098506e-04  1.15000000e+02 -2.50000000e+00 
 1.20000000e+02 -1.18709484e-03  1.20000000e+02 -2.37422116e-04  1.20000000e+02 -2.50000000e+00 
 1.25000000e+02 -1.24539898e-03  1.25000000e+02 -2.49081798e-04  1.25000000e+02 -2.50000000e+00 
 1.30000000e+02 -1.30537282e-03  1.30000000e+02 -2.61075835e-04  1.30000000e+02 -2.50000000e+00 
 1.35000000e+02 -1.36700966e-03  1.35000000e+02 -2.73402740e-04  1.35000000e+02 -2.50000000e+00 
 1.40000000e+02 -1.43030354e-03  1.40000000e+02 -2.86061219e-04  1.40000000e+02 -2.50000000e+00 
 1.45000000e+02 -1.49524905e-03  1.45000000e+02 -2.99050134e-04  1.45000000e+02 -2.50000000e+00 
 1.50000000e+02 -1.56184139e-03  1.50000000e+02 -3.12368483e-04  1.50000000e+02 -2.50000000e+00 
 1.55000000e+02 -1.63007622e-03  1.55000000e+02 -3.26015374e-04  1.55000000e+02 -2.50000000e+00 
 1.60000000e+02 -1.69994967e-03  1.60000000e+02 -3.39990016e-04  1.60000000e+02 -2.50000000e+00 
 1.65000000e+02 -1.77145823e-03  1.65000000e+02 -3.54291698e-04  1.65000000e+02 -2.50000000e+00 
 1.70000000e+02 -1.84459876e-03  1.70000000e+02 -3.68919785e-04  1.70000000e+02 -2.50000000e+00 
 1.75000000e+02 -1.91936842e-03  1.75000000e+02 -3.83873705e-04  1.75000000e+02 -2.50000000e+00 
 1.80000000e+02 -1.99576464e-03  1.80000000e+02 -3.99152941e-04  1.80000000e+02 -2.50000000e+00 
 1.85000000e+02 -2.07378510e-03  1.85000000e+02 -4.14757028e-04  1.85000000e+02 -2.50000000e+00 
 1.90000000e+02 -2.15342768e-03  1.90000000e+02 -4.30685541e-04  1.90000000e+02 -2.50000000e+00 
 1.95000000e+02 -2.23469047e-03  1.95000000e+02 -4.46938097e-04  1.95000000e+02 -2.50000000e+00 
 2.00000000e+02 -2.31757172e-03  2.00000000e+02 -4.63514346e-04  2.00000000e+02 -2.50000000e+00 
 2.05000000e+02 -2.40206984e-03  2.05000000e+02 -4.80413969e-04  2.05000000e+02 -2.50000000e+00 
 2.10000000e+02 -2.48818336e-03  2.10000000e+02 -4.97636673e-04  2.10000000e+02 -2.50000000e+00 
 2.15000000e+02 -2.57591096e-03  2.15000000e+02 -5.15182193e-04  2.15000000e+02 -2.50000000e+00 
 2.20000000e+02 -2.66525141e-03  2.20000000e+02 -5.33050283e-04  2.20000000e+02 -2.50000000e+00 
 2.25000000e+02 -2.75620359e-03  2.25000000e+02 -5.51240718e-04  2.25000000e+02 -2.50000000e+00 
 2.30000000e+02 -2.84876645e-03  2.30000000e+02 -5.69753290e-04  2.30000000e+02 -2.50000000e+00 
 2.35000000e+02 -2.94293905e-03  2.35000000e+02 -5.88587811e-04  2.35000000e+02 -2.50000000e+00 
 2.40000000e+02 -3.03872051e-03  2.40000000e+02 -6.07744102e-04  2.40000000e+02 -2.50000000e+00 
 2.45000000e+02 -3.13611000e-03  2.45000000e+02 -6.27222001e-04  2.45000000e+02 -2.50000000e+00 
 2.50000000e+02 -3.23510679e-03  2.50000000e+02 -6.47021358e-04  2.50000000e+02 -2.50000000e+00 
 2.55000000e+02 -3.33571016e-03  2.55000000e+02 -6.67142032e-04  2.55000000e+02 -2.50000000e+00 
 2.60000000e+02 -3.43791947e-03  2.60000000e+02 -6.87583894e-04  2.60000000e+02 -2.50000000e+00 
 2.65000000e+02 -3.54173412e-03  2.65000000e+02 -7.08346824e-04  2.65000000e+02 -2.50000000e+00 
 2.70000000e+02 -3.64715355e-03  2.70000000e+02 -7.29430709e-04  2.70000000e+02 -2.50000000e+00 
 2.75000000e+02 -3.75417722e-03  2.75000000e+02 -7.50835445e-04  2.75000000e+02 -2.50000000e+00 
 2.80000000e+02 -3.86280467e-03  2.80000000e+02 -7.72560934e-04  2.80000000e+02 -2.50000000e+00 
 2.85000000e+02 -3.97303542e-03  2.85000000e+02 -7.94607084e-04  2.85000000e+02 -2.50000000e+00 
 2.90000000e+02 -4.08486906e-03  2.90000000e+02 -8.16973812e-04  2.90000000e+02 -2.50000000e+00 
 2.95000000e+02 -4.19830519e-03  2.95000000e+02 -8.39661037e-04  2.95000000e+02 -2.50000000e+00 
 3.00000000e+02 -4.31334342e-03  3.00000000e+02 -8.62668685e-04  3.00000000e+02 -2.50000000e+00 
 3.05000000e+02 -4.42998343e-03  3.05000000e+02 -8.85996685e-04  3.05000000e+02 -2.50000000e+00 
 3.10000000e+02 -4.54822486e-03  3.10000000e+02 -9.09644972e-04  3.10000000e+02 -2.50000000e+00 
 3.15000000e+02 -4.66806742e-03  3.15000000e+02 -9.33613485e-04  3.15000000e+02 -2.50000000e+00 
 3.20000000e+02 -4.78951082e-03  3.20000000e+02 -9.57902164e-04  3.20000000e+02 -2.50000000e+00 
 3.25000000e+02 -4.91255478e-03  3.25000000e+02 -9.82510956e-04  3.25000000e+02 -2.50000000e+00 
 3.30000000e+02 -5.03719904e-03  3.30000000e+02 -1.00743981e-03  3.30000000e+02 -2.50000000e+00 
 3.35000000e+02 -5.16344337e-03  3.35000000e+02 -1.03268867e-03  3.35000000e+02 -2.50000000e+00 
